AUC:0.9449   Time:0.3863   
AUC:0.948   Time:0.4038   
AUC:0.9572   Time:0.3858   
AUC:0.9575   Time:0.4018   
AUC:0.9463   Time:0.3869   
AUC:0.9425   Time:0.4051   
AUC:0.9573   Time:0.3865   
AUC:0.9575   Time:0.4036   
AUC:0.9414   Time:0.3858   
AUC:0.9477   Time:0.404   
AUC:0.9475   Time:0.3856   
AUC:0.9498   Time:0.4037   
AUC:0.9449   Time:0.3863   
AUC:0.9478   Time:0.4014   
AUC:0.9441   Time:0.3868   
AUC:0.9431   Time:0.4016   
-
AUC:0.9428   Time:0.3641   
AUC:0.9322   Time:0.3582   
AUC:0.9451   Time:0.3617   
AUC:0.9349   Time:0.3563   
AUC:0.9414   Time:0.2102   
AUC:0.9272   Time:0.3587   
AUC:0.949   Time:0.3627   
AUC:0.9394   Time:0.3564   
AUC:0.9417   Time:0.3611   
AUC:0.9377   Time:0.3555   
AUC:0.946   Time:0.3609   
AUC:0.9332   Time:0.3589   
AUC:0.9455   Time:0.3631   
AUC:0.9386   Time:0.3585   
AUC:0.9423   Time:0.3624   
AUC:0.933   Time:0.3582   
AUC:0.9376   Time:0.3655   
AUC:0.937   Time:0.357   
AUC:0.9449   Time:0.3635   
AUC:0.9111   Time:0.3577   
